subscribe
school
video
champagne, sâm-pan
honda, hô-đa
transfer, tren-phơ
phone, phôn
shopping center, sóp-pinh xen-tờ
enter, en-tơ
house call, hau-co
shopping, sóp-pinh
cell phone, seo-phôn
show, xô
salon, sa-lon
Toronto, tô-rôn-tô
Canada, can-na-đa
donut, đô-nắt
remote control, rì-mốt căn-trô
TV, ti-vi
DVD, đi-vi-đi
computer, còm-piu-tờ
medical center, mê-đi-cô xen-tơ
camera, ca-me-ra
credit line, rè-đít lai
business card, bi-zi-nét cạc
bus, bớt
downtown, đao-tao
éclair, ê-c-le
kleenex, li-nách
business, bi-zi-nét
